"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Frequency","cycle/nsecond","8.78","8.98","8.88"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","SM Frequency","cycle/nsecond","1.27","1.30","1.28"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","7,079.00","7,117.00","7,098.00"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Memory Throughput","%","24.68","24.81","24.75"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Throughput","%","12.96","13.02","12.99"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Duration","usecond","5.47","5.57","5.52"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","37.89","38.73","38.31"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","L2 Cache Throughput","%","18.56","18.68","18.62"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","SM Active Cycles","cycle","4,530.21","4,630.57","4,580.39"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","24.68","24.81","24.75"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Block Size","","512.00","512.00","512.00"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Grid Size","","128.00","128.00","128.00"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Registers Per Thread","register/thread","16.00","16.00","16.00"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Shared Memory Configuration Size","Kbyte","16.38","16.38","16.38"
"132290","test_paper_bench_f","127.0.0.1","axpy_dot_kernel_f(float *, const float *, float, const bool *, int, int, int, int, float *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02","1.02","1.02"
