"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","dram__bytes.sum","Mbyte","1.15","1.15","1.15"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","l1tex__t_bytes.sum","Mbyte","2.68","2.68","2.68"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","lts__t_bytes.sum","Mbyte","2.80","2.80","2.80"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Frequency","cycle/nsecond","9.14","9.23","9.18"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","SM Frequency","cycle/nsecond","1.33","1.34","1.33"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","11,854.00","11,942.00","11,898.00"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Memory Throughput","%","15.50","15.55","15.52"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Throughput","%","14.62","14.71","14.67"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Duration","usecond","8.90","8.93","8.91"
