"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Frequency","cycle/nsecond","9.04","9.25","9.15"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","SM Frequency","cycle/nsecond","1.31","1.35","1.33"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","11,828.00","12,037.00","11,932.50"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Memory Throughput","%","15.40","15.60","15.50"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Throughput","%","14.53","14.75","14.64"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Duration","usecond","8.93","8.99","8.96"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","20.74","20.92","20.83"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","L2 Cache Throughput","%","15.40","15.60","15.50"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","SM Active Cycles","cycle","8,385.88","8,460.15","8,423.01"
"92899","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","36.57","37.20","36.88"
